,id_visitor,dim_session_number,ds,ts_min,ts_max,did_search,sent_message,sent_booking_request,deltat,desktop,phone,other
0,ed1329a6-064d-47e9-93bc-93f5a50822df,83,2015-02-16 00:00:00,2015-02-16 21:50:41,2015-02-16 22:13:42,0,0,0,0 days 00:23:01.000000000,0,1,0
1,ed1329a6-064d-47e9-93bc-93f5a50822df,84,2015-02-18 00:00:00,2015-02-18 11:57:15,2015-02-18 12:12:48,0,0,0,0 days 00:15:33.000000000,1,0,0
2,ed1329a6-064d-47e9-93bc-93f5a50822df,85,2015-02-18 00:00:00,2015-02-18 13:02:13,2015-02-18 13:05:36,0,0,0,0 days 00:03:23.000000000,1,0,0
3,ed1329a6-064d-47e9-93bc-93f5a50822df,86,2015-02-18 00:00:00,2015-02-18 14:18:17,2015-02-18 14:28:47,0,0,0,0 days 00:10:30.000000000,1,0,0
4,ed1329a6-064d-47e9-93bc-93f5a50822df,87,2015-02-19 00:00:00,2015-02-19 12:24:57,2015-02-19 12:24:59,0,0,0,0 days 00:00:02.000000000,1,0,0
5,ed1329a6-064d-47e9-93bc-93f5a50822df,88,2015-02-19 00:00:00,2015-02-19 22:21:58,2015-02-19 22:22:02,0,0,0,0 days 00:00:04.000000000,1,0,0
6,ed1329a6-064d-47e9-93bc-93f5a50822df,89,2015-02-25 00:00:00,2015-02-25 09:04:03,2015-02-25 09:05:16,0,0,0,0 days 00:01:13.000000000,1,0,0
7,ed1329a6-064d-47e9-93bc-93f5a50822df,1,2014-05-31 00:00:00,2014-05-31 21:04:21,2014-05-31 21:08:48,0,0,0,0 days 00:04:27.000000000,1,0,0
8,ed1329a6-064d-47e9-93bc-93f5a50822df,2,2014-06-10 00:00:00,2014-06-10 04:20:15,2014-06-10 04:20:48,0,0,0,0 days 00:00:33.000000000,1,0,0
9,ed1329a6-064d-47e9-93bc-93f5a50822df,3,2014-11-24 00:00:00,2014-11-24 09:40:49,2014-11-24 10:08:27,1,0,0,0 days 00:27:38.000000000,1,0,0
10,ed1329a6-064d-47e9-93bc-93f5a50822df,4,2014-11-24 00:00:00,2014-11-24 11:50:57,2014-11-24 12:04:07,1,0,0,0 days 00:13:10.000000000,1,0,0
11,ed1329a6-064d-47e9-93bc-93f5a50822df,5,2014-11-24 00:00:00,2014-11-24 14:31:55,2014-11-24 14:58:20,1,0,0,0 days 00:26:25.000000000,1,0,0
12,ed1329a6-064d-47e9-93bc-93f5a50822df,6,2014-11-25 00:00:00,2014-11-25 10:00:49,2014-11-25 10:00:53,0,0,0,0 days 00:00:04.000000000,1,0,0
13,ed1329a6-064d-47e9-93bc-93f5a50822df,7,2014-12-02 00:00:00,2014-12-02 11:44:42,2014-12-02 11:47:51,1,0,0,0 days 00:03:09.000000000,1,0,0
